index,keyword,partofspeech,hanzi
1,One,,一
2,Two,,二
3,Three,,三
4,Four,,四
5,Five,,五
6,Six,,六
7,Seven,,七
8,Eight,,八
9,Nine,,九
10,Ten,,十
11,Mouth,,口
12,Day,,日
13,Month,,月
14,Rice Field,,田
15,Eye,,目
16,Ancient,,古
17,Recklessly,,胡
18,I (literally),,吾
19,Companion,,朋
20,Bright,,明
21,Goods,,品
22,Sparkling,,晶
23,Prosperous,,昌
24,Sing,,唱
25,Early,,早
26,Rising Sun,,旭
27,Generation,,世
28,Stomach,,胃
29,Daybreak,,旦
30,Concave,,凹
31,Convex,,凸
32,Oneself,,自
33,White,,白
34,Hundred,,百
35,Soap,,皂
36,Middle,n./adj.,中
37,Thousand,,干
38,Tounge,,舌
39,Liter,,升
40,Rise Up,,昇
41,Pill,,丸
42,Divination,,卜
43,Tell Fortunes,,占
44,Above,,上
45,Below,,下
46,Card,,卡
47,Eminent,,卓
48,Dynasty,,朝
49,Ridicule,v.,嘲
50,Only,,只
51,Shellfish,,貝
52,Paste,v.,貼
53,Chaste,,貞
54,Employee,,員
55,See,,見
56,Beginning,,元
57,Page,,頁
58,Stubborn,,頑
59,Ordinary,,凡
60,Muscle,,肌
61,Defeated,,負
62,Uniform,adj.,勻
63,Sentence,n.,句
64,Decameron,,旬
65,Ladle,,勺
66,Bull's Eye,,的
67,Heads,,首
68,Straight,,直
69,Set Up,,置
70,Tool,,具
71,True,,真
72,Work,n.,工
73,Left,n./adj.,左
74,Right,n./adj.,右
75,Possess,,有
76,Bribe,n.,賄
77,Tribute,,貢
78,Item,,項
79,Sword,,刀
80,Blade,,刃
81,Cut,v.,切
82,Summon,,召
83,Evident,,昭
84,Rule,n.,則
85,Vice-,,副
86,Fourth,,丁
87,Sting,v.,叮
88,Can,aux. v.,可
89,Older Brother,,哥
90,Crest,n.,頂
91,Second,adj.,乙
92,Child,,子
93,Cavity,,孔
94,Roar,v.,吼
95,-ed,,了
96,Woman,,女
97,Good,,好
98,Be Like,,如
99,Mother,,母
100,Pierce,,貫
101,Elder Brother,,兄
102,Overcome,v.,克
103,Small,,小
104,Few,,少
105,Noisy,,吵
106,Large,,大
107,Tip,n.,尖
108,Evening,,夕
109,Many,,多
110,Enough,,夠
111,Outside,,外
112,Name,n.,名
113,Thick,,厚
114,Stone,,石
115,Gravel,,砂
116,Wonderful,,妙
117,Resemble,,肖
118,Peel,v.,削
119,Ray,,光
120,Overly,,太
121,Economize,,省
122,Strange,,奇
123,Stream,n.,川
124,State,n.,州
125,Obey,,順
126,Water,n.,水
127,Eternity,,永
128,Request,v.,求
129,Spring,n.,泉
130,Flatlands,,原
131,Wish,n.,願
132,Wash Away,,沖
133,Swim,v.,泳
134,Continent,,洲
135,Marsh,,沼
136,Sand,n.,沙
137,Yangtze,,江
138,Juice,n.,汁
139,Tide,,潮
140,Source,,源
141,Lively,,活
142,Extinguish,,消
143,Situation,,況
144,River,,河
145,Lake,,湖
146,Fathom,v.,測
147,Soil,n.,土
148,Equal,,均
149,Belly,,肚
150,Fill In,,填
